classid,setcmd
bios.Policy,Set-IntersightBiosPolicy
boot.PrecisionPolicy,Set-IntersightBootPrecisionPolicy
chassis.Profile,Set-IntersightChassisProfile
deviceconnector.Policy,Set-IntersightDeviceconnectorPolicy
fabric.FcNetworkPolicy,Set-IntersightFabricSystemQosPolicy
fabric.MulticastPolicy,Set-IntersightFabricMulticastPolicy
fabric.PortPolicy,Set-IntersightFabricPortPolicy
fabric.SwitchClusterProfile,Set-IntersightFabricSwitchClusterProfile
fabric.SystemQosPolicy,Set-IntersightFabricSystemQosPolicy
hyperflex.AutoSupportPolicy,Set-IntersightHyperflexAutoSupportPolicy
hyperflex.ClusterNetworkPolicy,Set-IntersightHyperflexClusterNetworkPolicy
hyperflex.ClusterProfile,Set-IntersightHyperflexClusterProfile
hyperflex.ClusterStoragePolicy,Set-IntersightHyperflexClusterStoragePolicy
hyperflex.LocalCredentialPolicy,Set-IntersightHyperflexLocalCredentialPolicy
hyperflex.NodeConfigPolicy,Set-IntersightHyperflexNodeConfigPolicy
hyperflex.ProxySettingPolicy,Set-IntersightHyperflexProxySettingPolicy
hyperflex.SysConfigPolicy,Set-IntersightHyperflexSysConfigPolicy
hyperflex.UcsmConfigPolicy,Set-IntersightHyperflexUcsmConfigPolicy
hyperflex.VcenterConfigPolicy,Set-IntersightHyperflexVcenterConfigPolicy
iam.EndPointUserPolicy,Set-IntersightIamEndPointUserPolicy
iam.LdapPolicy,Set-IntersightIamLdapPolicy
ipmioverlan.Policy,Set-IntersightIpmioverlanPolicy
kubernetes.AddonPolicy,Set-IntersightKubernetesAddonPolicy
kubernetes.ClusterProfile,Set-IntersightKubernetesClusterProfile
kubernetes.NetworkPolicy,Set-IntersightKubernetesNetworkPolicy
kubernetes.SysConfigPolicy,Set-IntersightKubernetesSysConfigPolicy
kubernetes.VersionPolicy,Set-IntersightKubernetesVersionPolicy
kubernetes.VirtualMachineInfraConfigPolicy,Set-IntersightKubernetesVirtualMachineInfraConfigPolicy
kubernetes.VirtualMachineInstanceType,Set-IntersightKubernetesVirtualMachineInstanceType
kvm.Policy,Set-IntersightKvmPolicy
macpool.Pool,Set-IntersightMacpoolPool
networkconfig.Policy,Set-IntersightNetworkconfigPolicy
ntp.Policy,Set-IntersightNtpPolicy
sdcard.Policy,Set-IntersightSdcardPolicy
server.Profile,Set-IntersightServerProfile
server.ProfileTemplate,Set-IntersightServerProfileTemplate
snmp.Policy,Set-IntersightSnmpPolicy
sol.Policy,Set-IntersightSolPolicy
ssh.Policy,Set-IntersightSshPolicy
storage.StoragePolicy,Set-IntersightStorageStoragePolicy
syslog.Policy,Set-IntersightSyslogPolicy
vmedia.Policy,Set-IntersightVmediaPolicy
vnic.EthNetworkPolicy,Set-IntersightVnicEthNetworkPolicy
vnic.EthQosPolicy,Set-IntersightVnicEthQosPolicy
vnic.FcNetworkPolicy,Set-IntersightVnicFcNetworkPolicy
vnic.FcQosPolicy,Set-IntersightVnicFcQosPolicy
vnic.LanConnectivityPolicy,Set-IntersightVnicLanConnectivityPolicy
vnic.SanConnectivityPolicy,Set-IntersightVnicSanConnectivityPolicy
